,classifiers,brfc40,brfc40,brfc40,brfc40,dtc,dtc,dtc,dtc,ertc40,ertc40,ertc40,ertc40,gaus,gaus,gaus,gaus,knn,knn,knn,knn,logreg,logreg,logreg,logreg,lsvm,lsvm,lsvm,lsvm,mlpc,mlpc,mlpc,mlpc,rfc40,rfc40,rfc40,rfc40,svm,svm,svm,svm,xgb,xgb,xgb,xgb
datasets,tests\anomalies,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals
abalone,baseline,0.2572,0.2572,0.2572,0.2572,0.2045,0.2045,0.2045,0.2045,0.2117,0.2117,0.2117,0.2117,0.1184,0.1184,0.1184,0.1184,0.2165,0.2165,0.2165,0.2165,0.2775,0.2775,0.2775,0.2775,0.2512,0.2512,0.2512,0.2512,0.2787,0.2787,0.2787,0.2787,0.2321,0.2321,0.2321,0.2321,0.2727,0.2727,0.2727,0.2727,0.2620,0.2620,0.2620,0.2620
,num disc,(7/7) 0.2560 +- 0.0029,---,(7) FAIL,(7) FAIL,(7/7) 0.1977 +- 0.0063,---,(7) FAIL,(7) FAIL,(7/7) 0.2107 +- 0.0078,---,(7) FAIL,(7) FAIL,(7/7) 0.1123 +- 0.0062,---,(7) FAIL,(7) FAIL,(7/7) 0.2134 +- 0.0040,---,(7) FAIL,(7) FAIL,(7/7) 0.2640 +- 0.0091,---,(7) FAIL,(7) FAIL,(7/7) 0.2409 +- 0.0102,---,(7) FAIL,(7) FAIL,(7/7) 0.2744 +- 0.0058,---,(7) FAIL,(7) FAIL,(7/7) 0.2326 +- 0.0031,---,(7) FAIL,(7) FAIL,(7/7) 0.2609 +- 0.0047,---,(7) FAIL,(7) FAIL,(7/7) 0.2544 +- 0.0067,---,(7/7) 0.2582 +- 0.0066,(7) FAIL
,num cont,(7/7) 0.2575 +- 0.0047,---,(7) FAIL,(7) FAIL,(7/7) 0.1977 +- 0.0110,---,(7) FAIL,(7) FAIL,(7/7) 0.2131 +- 0.0051,---,(7) FAIL,(7) FAIL,(7/7) 0.1157 +- 0.0046,---,(7) FAIL,(7) FAIL,(7/7) 0.2124 +- 0.0050,---,(7) FAIL,(7) FAIL,(7/7) 0.2667 +- 0.0061,---,(7) FAIL,(7) FAIL,(7/7) 0.2358 +- 0.0098,---,(7) FAIL,(7) FAIL,(7/7) 0.2681 +- 0.0032,---,(7) FAIL,(7) FAIL,(7/7) 0.2300 +- 0.0029,---,(7) FAIL,(7) FAIL,(7/7) 0.2640 +- 0.0042,---,(7) FAIL,(7) FAIL,(7/7) 0.2539 +- 0.0064,---,(7/7) 0.2580 +- 0.0085,(7) FAIL
,string,---,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL,---,(1) FAIL,(1) FAIL,(1) FAIL
adult,baseline,0.8320,0.8320,0.8320,0.8320,0.8156,0.8156,0.8156,0.8156,0.8208,0.8208,0.8208,0.8208,0.4595,0.4595,0.4595,0.4595,0.8136,0.8136,0.8136,0.8136,0.8405,0.8405,0.8405,0.8405,0.8405,0.8405,0.8405,0.8405,0.8371,0.8371,0.8371,0.8371,0.8237,0.8237,0.8237,0.8237,0.2549,0.2549,0.2549,0.2549,0.8396,0.8396,0.8396,0.8396
,num disc,(6/6) 0.8319 +- 0.0004,---,(6/6) 0.8318 +- 0.0003,(6) FAIL,(6/6) 0.8145 +- 0.0024,---,(6/6) 0.8157 +- 0.0001,(6) FAIL,(6/6) 0.8196 +- 0.0027,---,(6/6) 0.8206 +- 0.0003,(6) FAIL,(6/6) 0.4584 +- 0.0017,---,(6/6) 0.4595 +- 0.0001,(6) FAIL,(6/6) 0.8135 +- 0.0001,---,(6/6) 0.8135 +- 0.0002,(6) FAIL,(6/6) 0.8376 +- 0.0044,---,(6/6) 0.8400 +- 0.0007,(6) FAIL,(6/6) 0.8402 +- 0.0004,---,(6/6) 0.8403 +- 0.0003,(6) FAIL,(6/6) 0.8368 +- 0.0004,---,(6/6) 0.8368 +- 0.0004,(6) FAIL,(6/6) 0.8223 +- 0.0029,---,(6/6) 0.8237 +- 0.0001,(6) FAIL,(6/6) 0.2548 +- 0.0001,---,(6/6) 0.2549 +- 0.0000,(6) FAIL,(6/6) 0.8392 +- 0.0008,---,(6/6) 0.8392 +- 0.0005,(6) FAIL
,num cont,(6/6) 0.8319 +- 0.0004,---,(6/6) 0.8318 +- 0.0003,(6) FAIL,(6/6) 0.8153 +- 0.0006,---,(6/6) 0.8154 +- 0.0003,(6) FAIL,(6/6) 0.8203 +- 0.0012,---,(6/6) 0.8207 +- 0.0001,(6) FAIL,(6/6) 0.4590 +- 0.0011,---,(6/6) 0.4596 +- 0.0001,(6) FAIL,(6/6) 0.8127 +- 0.0018,---,(6/6) 0.8135 +- 0.0002,(6) FAIL,(6/6) 0.8403 +- 0.0003,---,(6/6) 0.8402 +- 0.0005,(6) FAIL,(6/6) 0.8373 +- 0.0050,---,(6/6) 0.8400 +- 0.0007,(6) FAIL,(6/6) 0.8351 +- 0.0045,---,(6/6) 0.8370 +- 0.0003,(6) FAIL,(6/6) 0.8225 +- 0.0022,---,(6/6) 0.8236 +- 0.0002,(6) FAIL,(6/6) 0.2549 +- 0.0000,---,(6/6) 0.2549 +- 0.0000,(6) FAIL,(6/6) 0.8396 +- 0.0000,---,(6/6) 0.8393 +- 0.0006,(6) FAIL
,string,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL
adult-missing,baseline,0.8498,0.8498,0.8498,0.8498,0.8101,0.8101,0.8101,0.8101,0.8346,0.8346,0.8346,0.8346,0.4850,0.4850,0.4850,0.4850,0.8213,0.8213,0.8213,0.8213,0.8494,0.8494,0.8494,0.8494,0.8477,0.8477,0.8477,0.8477,0.8374,0.8374,0.8374,0.8374,0.8505,0.8505,0.8505,0.8505,0.2507,0.2507,0.2507,0.2507,0.8607,0.8607,0.8607,0.8607
